Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,20pF,C913479
C10,0402,1,10uF,C315248
C11,0402,1,.1uF,C307331
C12,0402,1,10uF,C315248
C13,0402,1,.1uF,C307331
C14,0402,1,.1uF,C307331
C15,0402,1,.1uF,C307331
C16,0402,1,.1uF,C307331
C17,0402,1,1uF,C307331
C18,0402,1,1uF,C307331
C19,0402,1,.1uF,C307331
C2,0402,1,20pF,C913479
C20,0402,1,.1uF,C307331
C21,0402,1,.1uF,C307331
C3,0402,1,10uF,C315248
C4,0402,1,.1uF,C307331
C5,0402,1,.1uF,C307331
C6,0402,1,.1uF,C307331
C7,0402,1,.1uF,C307331
C8,0402,1,.1uF,C307331
C9,0402,1,10uF,C315248
D1,0603,1,LED,C160478
"D2, D3, D4",SOD3716X135N,3,B5819W-TP,C84354 
F1,FUSM4632X85,1,MF-MSMF050-2,C17313
J1,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,Ext Mic,C471416
J10,USB_Micro-B_Amphenol_10118194_Horizontal,1,2560 USB,C132563
J11,USB_Micro-B_Amphenol_10118194_Horizontal,1,ESP USB,C132563
J12,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,UnSW_BATT_IN, C474892
J13,470531000,1,Sound Board,C240840
J14,USB_Micro-B_Amphenol_10118194_Horizontal,1,Dome Controller USB,C132563
J15,USB_Micro-B_Amphenol_10118194_Horizontal,1,Dome Plate Controller USB,C132563
J16,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,UnSW_BATT_PASS, C474892
J17,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,RADH_POW, C474892
J18,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,RASP_POW, C474892
J19,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,5V_OUT_3, C474892
J20,PinHeader_2x03_P2.54mm_Vertical,1,ICSP,C236051
J21,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,Dome Electronics Power In, C474892
J22,DSUB-25_Male_Vertical_P2.77x2.84mm_MountingHoles,1,DB25_Male_MountingHoles,C2984302
J23,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,Amplifier_POW, C474892
J24,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,AUX1,C471416
J25,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,Stealth,C471416
J26,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,RADH,C471416
J27,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,Vu Data Panel,C587046
J3,PinHeader_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,C492427
J37,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,AUX2,C471416
J4,470531000,1,LDP,C240840
J5,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,Coin Slots,C587046
J6,470531000,1,CBI Batt LEDS,C240840
J7,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,1,Data Panel/ CBI,C588986
J8,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,1,Spectrum Analyzer,C587046
J9,470531000,1,Maintenance,C240840
"L2, L3",WS2812B-2020,2,WS2812B-2020,C965555
R1,0603,1,1M,C384292
R10,0402,1,220,C352454
R11,0402,1,220,C352454
R12,0402,1,220,C352454
R13,0402,1,220,C352454
R14,0402,1,220,C352454
R15,0402,1,10K,C144807
R16,0402,1,10K,C144807
R17,0402,1,10K,C144807
R18,0603,1,57K,C245983
R19,0603,1,22K,C325646
R2,0603,1,200,C114686
R20,0402,1,10K,C144807
R21,0402,1,10K,C144807
R22,0402,1,10K,C144807
R23,0402,1,10K,C144807
R24,0402,1,10K,C144807
R25,0402,1,10K,C144807
R26,0402,1,220,C137899
R27,0402,1,10K,C144807
R28,0402,1,10K,C144807
R29,0402,1,10K,C144807
R3,1206,1,400,C706413
R4,1206,1,400,C706413
R5,0402,1,220,C137899
R6,0402,1,220,C352454
R7,0402,1,220,C352454
R8,0402,1,220,C352454
R9,0402,1,220,C352454
SW1,GT-TC057A-H050-L1,1,2560 Reset,C2886915
SW2,GT-TC057A-H050-L1,1,SW_Push,C2886915
U1,QFP50P1600X1600X120-100N,1,ATMEGA256016AU,C22460
U14,D36V50F5-STEPDOWN,1,D36V50F5-STEPDOWN,
"U2, U5",SOIC127P600X180-16N,2,CH340C,C84681
U3,TSSOP-8_4.4x3mm_P0.65mm,1,TPS2115APW,C70287
U4,ESP32-WROOM-32,1,ESP32-WROOM-32D_16MB_,C529578
U6,UMT6,1,UMH3N,C62892
U7,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,LP5912-3.3DRV,C524780
Y1,XTAL_HC49P488W46L1150T500H350,1,16MHz,C279575
