Ref,Val,Package,PosX,PosY,Rot,Side
"C1","20pF","C_0402_1005Metric",115.360000,-97.290000,0.000000,top
"C2","20pF","C_0402_1005Metric",109.490000,-97.320000,180.000000,top
"C3","10uF","C_0402_1005Metric",176.470000,-103.620000,0.000000,top
"C4",".1uF","C_0402_1005Metric",176.580000,-105.270000,0.000000,top
"C5",".1uF","C_0402_1005Metric",169.410000,-97.850000,180.000000,top
"C6",".1uF","C_0402_1005Metric",173.410000,-106.840000,0.000000,top
"C7",".1uF","C_0402_1005Metric",160.760000,-116.110000,180.000000,top
"C8",".1uF","C_0402_1005Metric",131.310000,-79.400000,0.000000,top
"C9",".1uF","C_0402_1005Metric",111.030000,-76.130000,180.000000,top
"C10",".1uF","C_0402_1005Metric",117.420000,-87.700000,-90.000000,top
"C11",".1uF","C_0402_1005Metric",125.340000,-67.910000,90.000000,top
"C12","10uF","C_0402_1005Metric",135.940000,-90.466277,180.000000,top
"C13","100nF","C_0402_1005Metric",135.940000,-89.270000,180.000000,top
"C14","100nF","C_0402_1005Metric",135.940000,-91.662554,180.000000,top
"C15","10uF","C_0402_1005Metric",135.830000,-109.440000,0.000000,top
"C16","100nF","C_0402_1005Metric",138.280000,-118.080000,180.000000,top
"C17","1uF","C_0402_1005Metric",135.940000,-98.431385,180.000000,top
"C18","1uF","C_0402_1005Metric",135.940000,-92.858831,0.000000,top
"C19","10uF","C_0402_1005Metric",124.676284,-118.416500,-90.000000,top
"C20","100nF","C_0402_1005Metric",123.410000,-118.416500,-90.000000,top
"C21","100nF","C_0402_1005Metric",124.116500,-115.767439,0.000000,top
"C22","10uF","C_0402_1005Metric",94.380000,-100.020000,0.000000,top
"C23","100nF","C_0402_1005Metric",96.690000,-108.970000,180.000000,top
"C24","1uF","C_0402_1005Metric",124.116500,-108.788608,0.000000,top
"C25","1uF","C_0402_1005Metric",124.116500,-114.501162,180.000000,top
"CR1","B5819W-TP","SOD3716X135N",160.885000,-114.065000,0.000000,top
"CR2","B5819W-TP","SOD3716X135N",134.311500,-107.555000,0.000000,top
"CR3","B5819W-TP","SOD3716X135N",128.735000,-104.235000,-90.000000,top
"D1","SMD-LED-CLEAR-BLUE(0402)","LED-0402",109.580000,-71.930000,180.000000,top
"D2","SMD-LED-CLEAR-BLUE(0402)","LED-0402",109.600000,-72.920000,180.000000,top
"F1","MF-MSMF050-2","FUSM4632X85",161.378500,-104.988500,90.000000,top
"G***","LOGO","r2",78.820000,-58.220000,90.000000,top
"G***","LOGO","r2",78.820000,-94.900000,90.000000,top
"J1","SERIAL","PinHeader_2x04_P2.54mm_Vertical",141.210000,-59.650000,0.000000,top
"J2","I2C","PinHeader_2x04_P2.54mm_Vertical",149.620000,-59.790000,0.000000,top
"J3","Conn_02x10_Odd_Even","PinHeader_2x10_P2.54mm_Vertical",138.610000,-76.840000,90.000000,top
"J4","LDP/MAINT","PinHeader_2x04_P2.54mm_Vertical",169.980000,-83.906000,90.000000,top
"J5","COIN/VU","PinHeader_2x06_P2.54mm_Vertical",165.080000,-91.374000,90.000000,top
"J6","Batt Level LEDS","PinHeader_1x04_P2.54mm_Vertical",170.130000,-71.040000,90.000000,top
"J7","Data Panel/ CBI","PinHeader_1x05_P2.54mm_Vertical",167.630000,-76.298000,90.000000,top
"J8","Spectrum Analyzer","PinHeader_1x06_P2.54mm_Vertical",165.260000,-65.272000,90.000000,top
"J9","Ext Mic","PinHeader_1x03_P2.54mm_Vertical",172.720000,-59.950000,90.000000,top
"J10","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",168.490000,-117.200000,0.000000,top
"J11","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",148.045000,-117.210000,0.000000,top
"J12","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",92.565000,-117.250000,0.000000,top
"J13","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",132.950000,-59.680000,0.000000,top
"J14","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",128.240000,-59.600000,0.000000,top
"J15","Servo Header","PinHeader_1x06_P2.54mm_Vertical",84.770000,-107.720000,180.000000,top
"J16","Screw_Terminal_01x02","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",90.790000,-58.280000,180.000000,top
"J17","Screw_Terminal_01x02","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",102.270000,-58.390000,180.000000,top
"J18","Screw_Terminal_01x02","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",111.360000,-58.420000,180.000000,top
"J19","Screw_Terminal_01x02","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",120.540000,-58.400000,180.000000,top
"J20","ICSP","PinHeader_2x03_P2.54mm_Vertical",157.110000,-59.990000,0.000000,top
"L1","WS2812B-2020","WS2812B-2020",100.890000,-117.280000,0.000000,top
"L2","WS2812B-2020","WS2812B-2020",155.220000,-117.150000,0.000000,top
"L3","WS2812B-2020","WS2812B-2020",174.680000,-117.300000,0.000000,top
"R1","1M","R_0603_1608Metric",112.340000,-90.530000,0.000000,top
"R2","1K","R_0402_1005Metric",171.490000,-97.820000,180.000000,top
"R3","1K","R_0402_1005Metric",173.500000,-97.820000,180.000000,top
"R4","10K","R_0402_1005Metric",146.190000,-66.850000,-90.000000,top
"R5","10K","R_0402_1005Metric",146.210000,-63.550000,-90.000000,top
"R6","220","R_0402_1005Metric",167.400000,-83.640000,90.000000,top
"R7","220","R_0402_1005Metric",167.570000,-81.140000,-90.000000,top
"R8","220","R_0402_1005Metric",162.270000,-91.940000,90.000000,top
"R9","220","R_0402_1005Metric",180.220000,-91.680000,-90.000000,top
"R10","220","R_0402_1005Metric",162.250000,-88.660000,90.000000,top
"R11","220","R_0402_1005Metric",180.090000,-88.270000,-90.000000,top
"R12","220","R_0402_1005Metric",168.470000,-73.370000,180.000000,top
"R13","220","R_0402_1005Metric",174.680000,-68.670000,180.000000,top
"R14","220","R_0402_1005Metric",179.580000,-73.410000,180.000000,top
"R15","1K","R_0402_1005Metric",109.610000,-70.960000,180.000000,top
"R16","1K","R_0402_1005Metric",109.610000,-74.040000,180.000000,top
"R17","10K","R_0603_1608Metric",174.640000,-108.440000,0.000000,top
"R18","57K","R_0603_1608Metric",88.030000,-91.440000,0.000000,top
"R19","22K","R_0603_1608Metric",91.360000,-91.460000,0.000000,top
"R20","10K","R_0603_1608Metric",153.660000,-109.990000,180.000000,top
"R21","100K","R_0603_1608Metric",135.370000,-99.897662,0.000000,top
"R22","100K","R_0603_1608Metric",135.370000,-105.310216,180.000000,top
"R23","10K","R_0603_1608Metric",99.030000,-108.320000,-90.000000,top
"R24","100K","R_0603_1608Metric",124.686500,-107.252331,180.000000,top
"R25","100K","R_0603_1608Metric",124.686500,-101.699777,0.000000,top
"R26","220","R_0402_1005Metric",174.610000,-114.810000,0.000000,top
"R27","220","R_0402_1005Metric",155.250000,-114.860000,0.000000,top
"R28","220","R_0402_1005Metric",100.840000,-114.890000,0.000000,top
"R29","10K","R_0402_1005Metric",128.700000,-95.840000,180.000000,top
"R30","10K","R_0402_1005Metric",128.700000,-94.640000,180.000000,top
