Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,20pF,C_0402_1005Metric,115.36,-97.29,0,top
C2,20pF,C_0402_1005Metric,109.49,-97.32,180,top
C3,10uF,C_0402_1005Metric,176.47,-103.62,0,top
C4,.1uF,C_0402_1005Metric,176.58,-105.27,0,top
C5,.1uF,C_0402_1005Metric,169.41,-97.85,180,top
C6,.1uF,C_0402_1005Metric,173.41,-106.84,0,top
C7,.1uF,C_0402_1005Metric,160.76,-116.11,180,top
C8,.1uF,C_0402_1005Metric,131.31,-79.4,0,top
C9,.1uF,C_0402_1005Metric,111.03,-76.13,180,top
C10,.1uF,C_0402_1005Metric,117.42,-87.7,-90,top
C11,.1uF,C_0402_1005Metric,125.34,-67.91,90,top
C12,10uF,C_0402_1005Metric,135.94,-90.466277,180,top
C13,100nF,C_0402_1005Metric,135.94,-89.27,180,top
C14,100nF,C_0402_1005Metric,135.94,-91.662554,180,top
C15,10uF,C_0402_1005Metric,135.83,-109.44,0,top
C16,100nF,C_0402_1005Metric,138.28,-118.08,180,top
C17,1uF,C_0402_1005Metric,135.94,-98.431385,180,top
C18,1uF,C_0402_1005Metric,135.94,-92.858831,0,top
C19,10uF,C_0402_1005Metric,124.676284,-118.4165,-90,top
C20,100nF,C_0402_1005Metric,123.41,-118.4165,-90,top
C21,100nF,C_0402_1005Metric,124.1165,-115.767439,0,top
C22,10uF,C_0402_1005Metric,94.38,-100.02,0,top
C23,100nF,C_0402_1005Metric,96.69,-108.97,180,top
C24,1uF,C_0402_1005Metric,124.1165,-108.788608,0,top
C25,1uF,C_0402_1005Metric,124.1165,-114.501162,180,top
CR1,B5819W-TP,SOD3716X135N,160.885,-114.065,0,top
CR2,B5819W-TP,SOD3716X135N,134.3115,-107.555,0,top
CR3,B5819W-TP,SOD3716X135N,128.735,-104.235,-90,top
D1,SMD-LED-CLEAR-BLUE(0402),LED-0402,109.58,-71.93,180,top
D2,SMD-LED-CLEAR-BLUE(0402),LED-0402,109.6,-72.92,180,top
F1,MF-MSMF050-2,FUSM4632X85,161.3785,-104.9885,90,top
G***,LOGO,r2,78.82,-58.22,90,top
G***,LOGO,r2,78.82,-94.9,90,top
J1,SERIAL,PinHeader_2x04_P2.54mm_Vertical,141.21,-59.65,0,top
J2,I2C,PinHeader_2x04_P2.54mm_Vertical,149.62,-59.79,0,top
