Designator,Mid X,Mid Y,Rotation,Layer
C1,114.046,-99.822,270.0,top
C10,108.354,-89.932,180.0,top
C11,103.064,-95.268,180.0,top
C12,82.794,-106.584,270.0,top
C13,95.272,-83.002,0.0,top
C14,98.598,-81.94,0.0,top
C15,113.538,-71.944,180.0,top
C16,129.15,-82.108,90.0,top
C17,92.458,-107.9,0.0,top
C18,86.72,-108.686,270.0,top
C19,118.272,-100.402,0.0,top
C2,125.554,-99.626,270.0,top
C20,109.054,-80.034,180.0,top
C21,114.714,-91.096,0.0,top
C3,91.64,-73.542,0.0,top
C4,93.38,-72.216,0.0,top
C5,105.338,-86.312,0.0,top
C6,84.17,-106.606,270.0,top
C7,135.036,-85.072,0.0,top
C8,137.106,-80.462,0.0,top
C9,131.648,-76.962,270.0,top
D1,136.34,-65.552,0.0,top
D2,101.6005,-108.9845,180.0,top
D3,136.9065,-98.9105,180.0,top
D4,115.7485,-102.3445,0.0,top
F1,130.1305,-98.9965,0.0,top
J1,180.664,-103.779426,0.0,top
J10,120.9605,-117.134,0.0,top
J11,110.0825,-117.11,0.0,top
J12,110.348,-50.77,180.0,top
J13,129.567,-113.013,270.0,top
J14,99.184,-117.268,0.0,top
J15,88.216,-117.242,0.0,top
J16,128.32,-50.77,180.0,top
J17,161.69,-50.77,180.0,top
J18,143.816,-50.77,180.0,top
J19,152.618,-50.77,180.0,top
J20,80.276,-77.588,90.0,top
J21,94.33,-50.77,180.0,top
J22,122.266,-65.763338,180.0,top
J23,119.388,-50.77,180.0,top
J24,156.038,-113.146,90.0,top
J25,138.764,-113.146,90.0,top
J26,147.192,-113.4,90.0,top
J27,173.044,-59.344571,0.0,top
J3,171.864,-100.098,270.0,top
J37,164.514,-113.146,90.0,top
J4,177.553,-68.694142,180.0,top
J5,173.044,-48.378,0.0,top
J6,177.299,-95.169855,180.0,top
J7,175.584,-86.582284,0.0,top
J8,173.044,-111.952,0.0,top
J9,177.299,-77.464713,180.0,top
L2,109.74,-105.515,0.0,top
L3,120.618,-105.515,0.0,top
R1,119.404,-93.092,180.0,top
R10,169.026,-55.688,0.0,top
R11,169.026,-54.55,0.0,top
R12,174.584,-93.688,180.0,top
R13,174.584,-95.699,180.0,top
R14,174.584,-97.71,180.0,top
R15,169.766216,-96.906,0.0,top
R16,167.222439,-96.906,0.0,top
R17,117.288,-104.462,0.0,top
R18,133.84,-55.222,270.0,top
R19,134.726,-57.868,0.0,top
R2,136.34,-67.356,180.0,top
R20,105.852,-106.666,0.0,top
R21,164.678662,-96.906,0.0,top
R22,162.134885,-96.906,0.0,top
R23,159.591108,-96.906,0.0,top
R24,157.047331,-96.906,0.0,top
R25,154.503554,-96.906,0.0,top
R26,120.716,-103.116,0.0,top
R27,151.959777,-96.906,0.0,top
R28,149.416,-96.906,0.0,top
R29,172.31,-96.906,0.0,top
R3,138.47,-83.83,0.0,top
R4,136.542,-74.78,0.0,top
R5,109.72,-103.158,0.0,top
R6,174.806,-71.654,180.0,top
R7,174.564,-80.214,0.0,top
R8,169.026,-46.46,180.0,top
R9,169.026,-44.878,180.0,top
SW1,120.9605,-109.364,0.0,top
SW2,110.0825,-109.436,0.0,top
U1,119.045,-81.411,0.0,top
U14,154.355,-69.699,0.0,top
U2,98.557,-76.616,90.0,top
U3,134.04,-80.286,90.0,top
U4,91.014,-95.242,90.0,top
U5,107.975,-95.822,0.0,top
U6,103.493,-88.2458,0.0,top
U7,89.338,-108.558,0.0,top
Y1,119.528,-96.648,0.0,top
