Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,20pF,C_0402_1005Metric,113.29,-98.5,90,top
C2,20pF,C_0402_1005Metric,126.79,-98.5,90,top
C3,10uF,C_0402_1005Metric,95.41,-73.96,180,top
C4,.1uF,C_0402_1005Metric,94.02,-77.19,0,top
C5,.1uF,C_0402_1005Metric,98.97,-83.8,180,top
C6,.1uF,C_0402_1005Metric,100.32,-73.5,0,top
C7,.1uF,C_0402_1005Metric,135.83,-98.62,0,top
C8,.1uF,C_0402_1005Metric,136.09,-104.4,0,top
C9,.1uF,C_0402_1005Metric,114.33,-92.57,0,top
C10,.1uF,C_0402_1005Metric,112.31,-72.91,180,top
C11,.1uF,C_0402_1005Metric,108.05,-81.75,-90,top
C12,10uF,C_0402_1005Metric,82.97,-107.7,-90,top
C13,100nF,C_0402_1005Metric,84.3,-107.66,-90,top
C14,100nF,C_0402_1005Metric,107.67,-103.33,0,top
C15,10uF,C_0402_1005Metric,112.48,-93.71,-90,top
C16,100nF,C_0402_1005Metric,103.08,-95.61,90,top
C17,1uF,C_0402_1005Metric,96,-109.08,90,top
C18,1uF,C_0402_1005Metric,112.93,-105.99,0,top
CR1,B5819W-TP,SOD3716X135N,137.1485,-101.2085,0,top
CR2,B5819W-TP,SOD3716X135N,85.5085,-110.1285,180,top
F1,MF-MSMF050-2,FUSM4632X85,130.9285,-99.3385,90,top
J1,Body Servos,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,180.71,-103.81625,0,top
J2,Body Servos,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,138.555,-113.6,90,top
J3,Conn_02x10_Odd_Even,PinHeader_2x10_P2.54mm_Vertical,171.89,-99.92,-90,top
J4,LDP,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,178.37,-69.28125,0,top
J5,Coin Slots,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,173.21,-51.50375,0,top
J6,Batt Level LEDS,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,178.25,-95.6025,0,top
J7,Data Panel/ CBI,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,175.85,-87.20875,0,top
J8,Spectrum Analyzer,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,173.13,-112.24,0,top
J9,Maintenance,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,178.44,-78.275,0,top
J10,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,120.7125,-117.22,0,top
J11,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,110.155,-117.23,0,top
J12,UnSW_BATT_IN,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,122.145,-51.9,180,top
J13,Batt Level LEDS,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,129.79,-113.6,90,top
J14,DomeControllerUSB,USB_Micro-B_Amphenol_10118194_Horizontal,88.69,-117.24,0,top
J15,DomePlateControllerUSB,USB_Micro-B_Amphenol_10118194_Horizontal,99.41,-117.24,0,top
J16,UnSW_BATT_PASS,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,131.28,-51.9,180,top
J17,RADH_POW,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,143.99,-51.9,180,top
J18,RASP_POW,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,153.045,-51.9,180,top
J19,5V_OUT_3,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,162.1,-51.9,180,top
J20,ICSP,PinHeader_2x03_P2.54mm_Vertical,80.45,-78.95,90,top
J21,DomeElectronicsPowerIn,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,94.28,-51.9,180,top
J22,DB25_Female_MountingHoles,DSUB-25_Male_Vertical_P2.77x2.84mm_MountingHoles,89.14,-63.335338,0,top
J23,Amplifier_POW,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,113.01,-51.9,180,top
J24,Future,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,164.85,-113.6,90,top
J25,Stealth,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,147.32,-113.6,90,top
J26,RADH,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,156.085,-113.6,90,top
J27,VU Data Panel,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,173.2,-60.2275,0,top
L2,WS2812B-2020,WS2812B-2020,109.8125,-105.715,0,top
L3,WS2812B-2020,WS2812B-2020,120.37,-105.715,0,top
R1,1M,R_0603_1608Metric,118.01,-94.62,180,top
R2,1K,R_0402_1005Metric,107.38,-77.89,0,top
R3,1K,R_0402_1005Metric,107.26,-76.75,0,top
R6,220,R_0402_1005Metric,175.52,-69.09,-90,top
R7,220,R_0402_1005Metric,175.64,-78.11,90,top
R8,220,R_0402_1005Metric,170.53,-49.95,-90,top
R9,220,R_0402_1005Metric,170.51,-52.44,90,top
R10,220,R_0402_1005Metric,170.52,-60.88,-90,top
R11,220,R_0402_1005Metric,170.47,-58.04,90,top
