Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,105.276,-130.336,180,top
C2,10uF,C_0402_1005Metric,101.71,-110.83,180,top
C3,100nF,C_0402_1005Metric,101.7,-109.51,180,top
C4,10uF,C_0402_1005Metric,86.04,-127.67,180,top
C5,1uF,C_0402_1005Metric,100.29,-119.99,0,top
C6,100nF,C_0402_1005Metric,91.16,-134.83,180,top
C7,1uF,C_0402_1005Metric,100.73,-113.39,180,top
CR1,B5819W-TP,SOD3716X135N,101.4685,-129.0805,180,top
J1,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,80.52,-132.76,0,top
J2,AUX3,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,126.208,-93.766,90,top
J3,AUX1,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,108.404,-93.766,90,top
J4,AUX2,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,117.554,-93.766,90,top
J5,12OUT,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,66.273333,-93.39,-90,top
J6,12VOUT,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,66.273333,-102.65,-90,top
J7,5V OUT,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,76.834666,-94.41,180,top
J8,5V Out 2,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,86.298,-94.41,180,top
J12,SERIAL_FU,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,100.028,-93.766,90,top
L1,WS2812B-2020,WS2812B-2020,92.844,-97.797,0,top
R1,10K,R_0603_1608Metric,89.332,-99.624,0,top
R2,100K,R_0603_1608Metric,100.17,-122.15,90,top
R3,100K,R_0603_1608Metric,102.28,-121.5,-90,top
R4,220,R_0402_1005Metric,97.09,-96.266,180,top
SW1,SW_Push,TS-1101S-B-B-B-W-A,92.831,-90.411,-90,top
U1,ESP32-WROOM-32D_16MB_,ESP32-WROOM-32,113.76,-117.56,0,top
U2,CJ2301_S1,SOT-23,101.46,-125.782,90,top
U3,ME6211C33M5G,SOT-23-5,101.2,-117.27,90,top
U4,CH340C,SOIC127P600X180-16N,92.675,-130.27,90,top
U5,UMH3N,UMT6,100.895,-131.7938,0,top
U6,D36V50F5-STEPDOWN,D36V50F5-STEPDOWN,86.415,-113.665,180,top
U7,PCA9685,PCA9685,98.33,-123.15,0,top
