Ref,Val,Package,PosX,PosY,Rot,Side
"D1","APA102","LED_RGB_5050-6",137.078000,-108.712000,0.000000,top
"D2","APA102","LED_RGB_5050-6",128.778000,-108.712000,180.000000,top
"D3","APA102","LED_RGB_5050-6",137.078000,-103.124000,0.000000,top
"D4","APA102","LED_RGB_5050-6",128.778000,-103.124000,180.000000,top
"D5","APA102","LED_RGB_5050-6",137.078000,-97.536000,0.000000,top
"D6","APA102","LED_RGB_5050-6",128.778000,-97.536000,180.000000,top
"D7","APA102","LED_RGB_5050-6",137.078000,-91.948000,0.000000,top
"D8","APA102","LED_RGB_5050-6",128.778000,-91.948000,180.000000,top
"D9","APA102","LED_RGB_5050-6",137.078000,-86.360000,0.000000,top
"D10","APA102","LED_RGB_5050-6",128.778000,-86.360000,180.000000,top
"D11","APA102","LED_RGB_5050-6",137.078000,-80.772000,0.000000,top
"D12","APA102","LED_RGB_5050-6",128.778000,-80.772000,180.000000,top
"D13","APA102","LED_RGB_5050-6",137.078000,-75.184000,0.000000,top
"D14","APA102","LED_RGB_5050-6",128.778000,-75.184000,180.000000,top
"D15","APA102","LED_RGB_5050-6",137.078000,-69.596000,0.000000,top
"D16","APA102","LED_RGB_5050-6",128.778000,-69.596000,180.000000,top
"D17","APA102","LED_RGB_5050-6",137.078000,-64.008000,0.000000,top
"D18","APA102","LED_RGB_5050-6",128.778000,-64.008000,180.000000,top
