Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",104.770000,-89.280000,0.000000,top
"C2","10uF","C_0402_1005Metric",105.910000,-70.320000,180.000000,top
"C3","100nF","C_0402_1005Metric",105.870000,-71.550000,180.000000,top
"C4","10uF","C_0402_1005Metric",109.420000,-92.640000,90.000000,top
"C5","1uF","C_0402_1005Metric",102.960000,-80.110000,180.000000,top
"C6","100nF","C_0402_1005Metric",100.520000,-94.850000,90.000000,top
"C7","1uF","C_0402_1005Metric",105.870000,-84.470000,-90.000000,top
"CR1","B5819W-TP","SOD3716X135N",103.838500,-77.738500,0.000000,top
"G***","LOGO","r2",51.000000,-66.680000,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",114.900000,-107.150000,0.000000,top
"J2","Servo Header","PinHeader_1x06_P2.54mm_Vertical",128.040000,-97.700000,90.000000,top
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",135.690000,-73.340000,90.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",135.690000,-92.450000,90.000000,top
"J5","12IN","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",87.780000,-66.000000,180.000000,top
"J6","RSeries Logics","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",97.850000,-65.930000,180.000000,top
"J7","HP","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",76.020000,-99.590000,0.000000,top
"J8","HP Servo","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",84.980000,-99.510000,0.000000,top
"J9","5V Out","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",93.850000,-99.510000,0.000000,top
"J10","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",135.690000,-65.070000,90.000000,top
"J11","Conn_02x04_Odd_Even","PinHeader_2x04_P2.54mm_Vertical",133.110000,-86.955000,90.000000,top
"J12","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",133.140000,-79.395000,90.000000,top
"J13","DB25_Female_MountingHoles","DSUB-25_Female_Vertical_P2.77x2.84mm_MountingHoles",61.790000,-64.740000,90.000000,top
"J14","DC-005-5A-2.0","XKB_DC-005-5A-2.0",76.185000,-61.515000,-90.000000,top
"L1","WS2812B-2020","WS2812B-2020",121.360000,-106.670000,0.000000,top
"R1","10K","R_0603_1608Metric",105.290000,-90.710000,180.000000,top
"R2","100K","R_0603_1608Metric",104.990000,-75.030000,0.000000,top
"R3","100K","R_0603_1608Metric",101.580000,-81.700000,0.000000,top
"R4","220","R_0402_1005Metric",121.580000,-102.840000,-90.000000,top
"SW1","SW_Push","TS-1101S-B-B-B-W-A",114.805000,-101.600000,180.000000,top
"U1","ESP32-WROOM-32D_16MB_","ESP32-WROOM-32",117.480000,-78.500000,0.000000,top
"U2","CJ2301_S1","SOT-23",102.180000,-72.080000,-90.000000,top
"U3","ME6211C33M5G","SOT-23-5",103.170000,-84.870000,0.000000,top
"U4","CH340C","SOIC127P600X180-16N",104.995000,-97.600000,0.000000,top
"U5","UMH3N","UMT6",101.954200,-90.035000,-90.000000,top
"U6","D36V50F5-STEPDOWN","D36V50F5-STEPDOWN",86.465000,-82.535000,-90.000000,top
