Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,134.336,-95.314,0,top
C2,10uF,C_0402_1005Metric,105.48,-66.878,180,top
C3,100nF,C_0402_1005Metric,105.572,-68.002,180,top
C4,10uF,C_0402_1005Metric,120.068,-95.556,180,top
C5,1uF,C_0402_1005Metric,101.214,-89.292,0,top
C6,100nF,C_0402_1005Metric,127.808,-89.98,180,top
C7,1uF,C_0402_1005Metric,103.736,-75.998,180,top
CR1,B5819W-TP,SOD3716X135N,103.1825,-86.7425,0,top
J1,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,115.988,-107.208,0,top
J4,SERIAL_RS,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,138.342,-81.723,0,top
J5,12IN,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,87.16,-66.064,180,top
J6,RSeries Logics,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,97.086,-66.06,180,top
J7,HP,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,75.96,-99.686,0,top
J8,5V Out 2,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,93.838,-99.686,0,top
J9,5V Out,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,84.899,-99.686,0,top
J10,SERIAL_PSI,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,138.342,-61.534,0,top
J11,SERIAL_FU,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,138.342,-91.8175,0,top
J12,SERIAL_HP,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,138.342,-71.6285,0,top
J13,DB25_Male_MountingHoles,DSUB-25_Male_Vertical_P2.77x2.84mm_MountingHoles,61.003338,-98.342,90,top
J14,DC-005-5A-2.0,XKB_DC-005-5A-2.0,75.314,-62.124,-90,top
J16,RadarEye,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,138.342,-101.912,0,top
L1,WS2812B-2020,WS2812B-2020,115.866,-96.195,0,top
R1,10K,R_0603_1608Metric,123.832,-103.44,180,top
R2,100K,R_0603_1608Metric,105.834,-89.3,0,top
R3,100K,R_0603_1608Metric,101.788,-83.374,180,top
R4,220,R_0402_1005Metric,114.274,-93.558,0,top
SW1,SW_Push,TS-1101S-B-B-B-W-A,115.927,-101.841,0,top
U1,ESP32-WROOM-32D_16MB_,ESP32-WROOM-32,117.456,-73.892,0,top
U2,CJ2301_S1,SOT-23,102.58,-92.866,180,top
U3,ME6211C33M5G,SOT-23-5,103.316,-79.95,0,top
U4,CH340C,SOIC127P600X180-16N,125.551,-96.08,0,top
U5,UMH3N,UMT6,131.901,-94.4278,-90,top
U6,D36V50F5-STEPDOWN,D36V50F5-STEPDOWN,86.709,-83.191,-90,top
U7,PCA9685,PCA9685,165.494,-80.994,90,top
