Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",110.660000,-97.890000,0.000000,top
"C2","10uF","C_0402_1005Metric",105.910000,-70.320000,180.000000,top
"C3","100nF","C_0402_1005Metric",105.870000,-71.550000,180.000000,top
"C4","10uF","C_0402_1005Metric",138.220000,-81.100000,-90.000000,top
"C5","1uF","C_0402_1005Metric",102.960000,-80.110000,180.000000,top
"C6","100nF","C_0402_1005Metric",128.680000,-84.670000,-90.000000,top
"C7","1uF","C_0402_1005Metric",105.870000,-84.470000,-90.000000,top
"CR1","B5819W-TP","SOD3716X135N",103.838500,-77.738500,0.000000,top
"G***","LOGO","r2",133.290000,-98.780000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",114.900000,-107.150000,0.000000,top
"J2","Servo Header","PinHeader_1x06_P2.54mm_Vertical",142.610000,-81.150000,0.000000,top
"J3","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical",139.210000,-67.040000,0.000000,top
"J4","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",142.050000,-76.320000,-90.000000,top
"J5","12IN","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",87.780000,-66.000000,180.000000,top
"J6","RSeries Logics","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",97.850000,-65.930000,180.000000,top
"J7","HP","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",84.230000,-99.650000,0.000000,top
"J8","HP Servo","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",93.190000,-99.570000,0.000000,top
"J9","5V Out","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",102.060000,-99.570000,0.000000,top
"J10","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",134.870000,-67.020000,0.000000,top
"L1","WS2812B-2020","WS2812B-2020",121.360000,-106.670000,0.000000,top
"R1","10K","R_0603_1608Metric",112.030000,-96.010000,180.000000,top
"R2","100K","R_0603_1608Metric",104.990000,-75.030000,0.000000,top
"R3","100K","R_0603_1608Metric",101.580000,-81.700000,0.000000,top
"SW1","SW_Push","TS-1101S-B-B-B-W-A",114.805000,-101.600000,180.000000,top
"U1","ESP32-WROOM-32D_16MB_","ESP32-WROOM-32",117.480000,-78.500000,0.000000,top
"U2","CJ2301_S1","SOT-23",102.180000,-72.080000,-90.000000,top
"U3","ME6211C33M5G","SOT-23-5",103.170000,-84.870000,0.000000,top
"U4","CH340C","SOIC127P600X180-16N",133.595000,-84.840000,0.000000,top
"U5","UMH3N","UMT6",139.155000,-83.945800,0.000000,top
"U6","D36V50F5-STEPDOWN","D36V50F5-STEPDOWN",86.465000,-82.535000,-90.000000,top
