Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",134.336000,-95.314000,0.000000,top
"C2","10uF","C_0402_1005Metric",105.480000,-66.878000,180.000000,top
"C3","100nF","C_0402_1005Metric",105.572000,-68.002000,180.000000,top
"C4","10uF","C_0402_1005Metric",120.068000,-95.556000,180.000000,top
"C5","1uF","C_0402_1005Metric",101.214000,-89.292000,0.000000,top
"C6","100nF","C_0402_1005Metric",127.808000,-89.980000,180.000000,top
"C7","1uF","C_0402_1005Metric",103.736000,-75.998000,180.000000,top
"CR1","B5819W-TP","SOD3716X135N",103.182500,-86.742500,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",115.988000,-107.208000,0.000000,top
"J4","SERIAL_RS","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",138.342000,-81.723000,0.000000,top
"J5","12IN","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",87.160000,-66.064000,180.000000,top
"J6","RSeries Logics","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",97.086000,-66.060000,180.000000,top
"J7","HP","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",75.960000,-99.686000,0.000000,top
"J8","5V Out 2","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",93.838000,-99.686000,0.000000,top
"J9","5V Out","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",84.899000,-99.686000,0.000000,top
"J10","SERIAL_PSI","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",138.342000,-61.534000,0.000000,top
"J11","SERIAL_FU","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",138.342000,-91.817500,0.000000,top
"J12","SERIAL_HP","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",138.342000,-71.628500,0.000000,top
"J13","DB25_Male_MountingHoles","DSUB-25_Male_Vertical_P2.77x2.84mm_MountingHoles",61.003338,-98.342000,90.000000,top
"J14","DC-005-5A-2.0","XKB_DC-005-5A-2.0",75.314000,-62.124000,-90.000000,top
"J16","RadarEye","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",138.342000,-101.912000,0.000000,top
"L1","WS2812B-2020","WS2812B-2020",115.866000,-96.195000,0.000000,top
"R1","10K","R_0603_1608Metric",123.832000,-103.440000,180.000000,top
"R2","100K","R_0603_1608Metric",105.834000,-89.300000,0.000000,top
"R3","100K","R_0603_1608Metric",101.788000,-83.374000,180.000000,top
"R4","220","R_0402_1005Metric",114.274000,-93.558000,0.000000,top
"SW1","SW_Push","TS-1101S-B-B-B-W-A",115.927000,-101.841000,0.000000,top
"U1","ESP32-WROOM-32D_16MB_","ESP32-WROOM-32",117.456000,-73.892000,0.000000,top
"U2","CJ2301_S1","SOT-23",102.580000,-92.866000,180.000000,top
"U3","ME6211C33M5G","SOT-23-5",103.316000,-79.950000,0.000000,top
"U4","CH340C","SOIC127P600X180-16N",125.551000,-96.080000,0.000000,top
"U5","UMH3N","UMT6",131.901000,-94.427800,-90.000000,top
"U6","D36V50F5-STEPDOWN","D36V50F5-STEPDOWN",86.709000,-83.191000,-90.000000,top
"U7","PCA9685","PCA9685",165.494000,-80.994000,90.000000,top
