Component,References,Quantity Per PCB,Manufacturer,Manufacturer Part Number,LCSC,Value,Description,Footprint,Type,Instructions,Part,,,,,Datasheet,,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,PARTREV,STANDARD
1,C1 C3 C6,3,Samsung Electro-Mechanics,CL05B104KB54PNC,C307331,100nF,Unpolarized capacitor,C_0402_1005Metric,,,C,,,,,https://datasheet.lcsc.com/lcsc/1810191222_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.pdf,,,,,
2,C5 C7,2,Murata Electronics,GRM155R61E105KA12D,C77009,1uF,Unpolarized capacitor,C_0402_1005Metric,,,C,,,,,https://datasheet.lcsc.com/lcsc/1811081616_Murata-Electronics-GRM155R61E105KA12D_C77009.pdf,,,,,
3,C2 C4,2,Samsung Electro-Mechanics,CL05A106MP5NUNC,C315248,10uF,Unpolarized capacitor,C_0402_1005Metric,,,C,,,,,https://datasheet.lcsc.com/lcsc/2007131004_Samsung-Electro-Mechanics-CL05A106MP5NUNC_C315248.pdf,,,,,
4,CR1,1,MCC(Micro Commercial Components),B5819W-TP,C84354,B5819W-TP,,SOD3716X135N,,,B5819W-TP_1,,,,,https://datasheet.lcsc.com/lcsc/1810010311_MCC-Micro-Commercial-Components-B5819W-TP_C84354.pdf,,,,,
5,J5 J6 J7 J8 J9,5,Cixi Kefa Elec,KF350-3.5-2P,C474892,12IN,"Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,,,Screw_Terminal_01x02,,,,,https://datasheet.lcsc.com/lcsc/2001160007_Cixi-Kefa-Elec-KF350-3-5-2P_C474892.pdf,,,,,
6,J14,1,HCTL,HC-DC-005-2.5M,C3010535,DC-005-5A-2.0,,XKB_DC-005-5A-2.0,,,DC-005-5A-2.0,,,,,https://datasheet.lcsc.com/lcsc/2205201745_HCTL-HC-DC-005-2-5M_C3010535.pdf,,XKB,11 mm,A0,Manufacturer Recommendations
7,J4 J10 J11 J12 J16,5,MOLEX,22272031,C471416,SERIAL_RS,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,,,Conn_01x03,,,,,https://datasheet.lcsc.com/lcsc/1912230932_MOLEX-22272031_C471416.pdf,,,,,
8,J1,1,Amphenol ICC,10118194-0001LF,C132563,USB_B_Micro,USB Micro Type B connector,USB_Micro-B_Amphenol_10118194_Horizontal,,,USB_B_Micro,,,,,https://datasheet.lcsc.com/lcsc/1811131822_Amphenol-ICC-10118194-0001LF_C132563.pdf,,,,,
9,L1,1,Worldsemi,WS2812B-2020,C965555,WS2812B-2020,,WS2812B-2020,,,WS2812B-2020,,,,,https://datasheet.lcsc.com/lcsc/2012110135_Worldsemi-WS2812B-2020_C965555.pdf,,,,,
10,R4,1,UNI-ROYAL(Uniroyal Elec),0402WGF2200TCE,C25091,220,Resistor,R_0402_1005Metric,,,R,,,,,https://datasheet.lcsc.com/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF2200TCE_C25091.pdf,,,,,
