Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,117.826,-93.536,0,top
C2,10uF,C_0402_1005Metric,92.426,-114.034,-90,top
C3,100nF,C_0402_1005Metric,93.68,-114.034,-90,top
C4,10uF,C_0402_1005Metric,112.698,-95.036,0,top
C5,1uF,C_0402_1005Metric,106.756,-114.696,180,top
C6,100nF,C_0402_1005Metric,119.528,-96.646,0,top
C7,1uF,C_0402_1005Metric,109.19,-113.664,90,top
CR1,B5819W-TP,SOD3716X135N,102.8045,-115.0145,180,top
J1,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,96.68,-83.758,180,top
J2,Conn_01x04,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,121.636,-92.266,0,top
J3,Front Logics,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,124.176,-100.306,0,top
J5,12OUT,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,103.714,-123.47,0,top
J7,5V OUT,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,94.054,-123.47,0,top
J12,SERIAL_FU,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,124.176,-108.774,0,top
L1,WS2812B-2020,WS2812B-2020,106.098,-89.397,180,top
R1,10K,R_0603_1608Metric,102.336,-91.098,0,top
R2,100K,R_0603_1608Metric,103.38,-118.206,0,top
R3,100K,R_0603_1608Metric,97.764,-114.436,0,top
R4,220,R_0402_1005Metric,109.31,-89.644,90,top
SW1,SW_Push,TS-1101S-B-B-B-W-A,96.859,-89.351,0,top
U1,ESP32-WROOM-32D_16MB_,ESP32-WROOM-32,100.038,-102.432,90,top
U2,CJ2301_S1,SOT-23,97.686,-117.382,180,top
U3,ME6211C33M5G,SOT-23-5,107.826,-117.46,0,top
U4,CH340C,SOIC127P600X180-16N,115.691,-102.648,0,top
U5,UMH3N,UMT6,116.189,-95.5318,0,top
U6,D24V550F5_Step_Down_Regulator,VoltageREG_2851,120.912,-123.094,180,top
