Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,104.77,-89.28,0,top
C2,10uF,C_0402_1005Metric,105.91,-70.32,180,top
C3,100nF,C_0402_1005Metric,105.87,-71.55,180,top
C4,10uF,C_0402_1005Metric,109.42,-92.64,90,top
C5,1uF,C_0402_1005Metric,102.96,-80.11,180,top
C6,100nF,C_0402_1005Metric,100.52,-94.85,90,top
C7,1uF,C_0402_1005Metric,105.87,-84.47,-90,top
CR1,B5819W-TP,SOD3716X135N,103.8385,-77.7385,0,top
G***,LOGO,r2,51,-66.68,-90,top
J1,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,114.9,-107.15,0,top
J2,Servo Header,PinHeader_1x06_P2.54mm_Vertical,128.04,-97.7,90,top
J3,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,135.69,-73.34,90,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,135.69,-92.45,90,top
J5,12IN,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,87.78,-66,180,top
J6,RSeries Logics,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,97.85,-65.93,180,top
J7,HP,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,76.02,-99.59,0,top
J8,HP Servo,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,84.98,-99.51,0,top
J9,5V Out,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,93.85,-99.51,0,top
J10,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,135.69,-65.07,90,top
J11,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,133.11,-86.955,90,top
J12,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,133.14,-79.395,90,top
J13,DB25_Female_MountingHoles,DSUB-25_Female_Vertical_P2.77x2.84mm_MountingHoles,61.79,-64.74,90,top
J14,DC-005-5A-2.0,XKB_DC-005-5A-2.0,76.185,-61.515,-90,top
L1,WS2812B-2020,WS2812B-2020,121.36,-106.67,0,top
R1,10K,R_0603_1608Metric,105.29,-90.71,180,top
R2,100K,R_0603_1608Metric,104.99,-75.03,0,top
R3,100K,R_0603_1608Metric,101.58,-81.7,0,top
R4,220,R_0402_1005Metric,121.58,-102.84,-90,top
SW1,SW_Push,TS-1101S-B-B-B-W-A,114.805,-101.6,180,top
U1,ESP32-WROOM-32D_16MB_,ESP32-WROOM-32,117.48,-78.5,0,top
U2,CJ2301_S1,SOT-23,102.18,-72.08,-90,top
U3,ME6211C33M5G,SOT-23-5,103.17,-84.87,0,top
U4,CH340C,SOIC127P600X180-16N,104.995,-97.6,0,top
U5,UMH3N,UMT6,101.9542,-90.035,-90,top
U6,D36V50F5-STEPDOWN,D36V50F5-STEPDOWN,86.465,-82.535,-90,top
