Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,112.19,-92.09,0,top
C2,10uF,C_0402_1005Metric,88.34,-85.93,180,top
C3,100nF,C_0402_1005Metric,88.44,-84.59,180,top
C4,10uF,C_0402_1005Metric,112.07,-88.85,0,top
C5,1uF,C_0402_1005Metric,78.74,-99.24,0,top
C6,100nF,C_0402_1005Metric,116.55,-103.88,180,top
C7,1uF,C_0402_1005Metric,89.78,-102.51,-90,top
CR1,B5819W-TP,SOD3716X135N,79.3285,-103.4485,-90,top
J1,USB_B_Micro,USB_Micro-B_Amphenol_10118194_Horizontal,120.08,-86.3,168,top
J2,DB25_Male_SlipRing,DSUB-25_Male_Vertical_P2.77x2.84mm_MountingHoles,83.25,-132.779338,0,top
J3,12VOUT,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,65.18,-121.75,-60,top
J4,SERIAL_US,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,81.73,-124.47,90,top
J5,12OUT,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,55.87,-105.9,-60,top
J6,12VOUT,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,60.6,-113.71,-60,top
J7,5V OUT,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,74.02,-95.22,-160,top
J8,5V Out 2,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,65.33,-98.42,-155,top
J9,5V Out,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,82.88,-92.43,-165,top
J10,SERIAL_FU4,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,117.07,-124.47,90,top
J11,SERIAL_FU3,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,108.235,-124.47,90,top
J12,SERIAL_FU,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,90.565,-124.47,90,top
J13,DB25_Female_MagTag,DSUB-25_Female_Vertical_P2.77x2.84mm_MountingHoles,83.25,-150.469338,180,top
J14,DC-005-5A-2.0,XKB_DC-005-5A-2.0,133.75,-125.19,150,top
J15,SERIAL_FU2,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,99.4,-124.47,90,top
L1,WS2812B-2020,WS2812B-2020,113.59,-84.925,-15,top
R1,10K,R_0603_1608Metric,124.86,-94.44,180,top
R2,100K,R_0603_1608Metric,75.43,-104.46,180,top
R3,100K,R_0603_1608Metric,82.04,-102.37,90,top
R4,220,R_0402_1005Metric,112.3,-87.11,0,top
SW1,SW_Push,TS-1101S-B-B-B-W-A,118.705,-91.705,-10,top
U1,ESP32-WROOM-32D_16MB_,ESP32-WROOM-32,100.13,-91.52,0,top
U2,CJ2301_S1,SOT-23,75.33,-101.68,180,top
U3,ME6211C33M5G,SOT-23-5,86.04,-102.31,0,top
U4,CH340C,SOIC127P600X180-16N,118.175,-99.34,90,top
U5,UMH3N,UMT6,112.045,-94.1658,0,top
U6,D36V50F5-STEPDOWN,D36V50F5-STEPDOWN,138.695,-105.685,60,top
