Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uF,C1222438
C10,0402,1,.1uF,C307331
C11,0402,1,.1uF,C307331
C12,0402,1,.1uF,C307331
C2,0402,1,.1uF,C307331
C3,0402,1,.1uF,C307331
C4,0805,1,4.7uF,C126590
C5,0402,1,.1uF,C307331
C6,0603,1,1uF,C2909629
C7,0603,1,1uF,C2909629
C8,0805,1,10uF,C1222438
C9,0603,1,.1uF,-----
D1,SOD3716X135N,1,B5819W-TP,C84354
D2,SOT-143,1,SP0503BAHTG,C7074
J1,USB_Micro-B_Amphenol_10118194_Horizontal,1,USB_B_Micro,C132563
J2,TerminalBlock_bornier-2_P5.08mm,1,Power In,-----
J3,73391-0083,1,73391-0083,C493445
J4,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,1,External Switch In,
J5,TerminalBlock_bornier-2_P5.08mm,1,Output,-----
J6,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,1,Conn_01x03,
"L1, L2, L3",WS2812B-2020,3,WS2812B-2020,C965555
Q2,SOT65P230X110-6N,1,UMH3N,C123008
Q3,SOT-23,1,BSS138,C154900
R1,0402,1,10K,C60489
R10,0402,1,400,C3931306
R14,0402,1,470,C3931306
R16,0402,1,470,C3931306
R17,0402,1,470,C3931306
R2,0402,1,1K,C105637
R3,0402,1,1K,C105637
R4,0402,1,22.1K,C137898
R5,0402,1,47.5K,C137974
R6,0402,1,1K,C105637
R7,0402,1,10K,C3931306
R8,0402,1,10K,C3931306
R9,0402,1,400,C3931306
S1,SW_TL3342F160QG,1,TL3342F160QG,------
S2,TL3305CF260QG,1,TL3305CF260QG,C2886904
U1,MODULE_ESP32-PICO-MINI-02,1,ESP32-PICO-MINI-02,C2980306
U2,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-A02-GQFN28,C1550553
U3,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,LP5912-3.3DRV,C2876187
U4,TSSOP-8_4.4x3mm_P0.65mm,1,TPS2115APW,C70287
U5,RFM95W-915S2,1,RFM95W-915S2,-----
U6,SOT95P280X145-6N,1,MAX6817EUT+T,C516788
U7,VoltageREG_2851,1,D24V550F5_Step_Down_Regulator,-----
