"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","1uf","","","","Capacitor_THT:C_Disc_D7.5mm_W4.4mm_P5.00mm","~"
"C2,C4,C6","3","10uf","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C3,C7","2",".1uf","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~"
"J1","1","Roboteq","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J2","1","Serial 1","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J3","1","Serial 2","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J4","1","Serial 3","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J5","1","5V","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J6","1","Dome PWM","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J7","1","Misc 1","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J8","1","Misc 2","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J9","1","Misc 3","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J11","1","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"R1","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R2,R3","2","470","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U1","1","LM2937xT","","","","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm2937.pdf"
"U4","1","~","","","","01-Custom:XbeePro900",""
"U5","1","ESP32-S3-DEVKITC-1-N8R2","","","","custom:XCVR_ESP32-S3-DEVKITC-1-N8R2",""
"U7","1","XIAO_ESP32C3","","","","01-Custom:MODULE_XIAO_ESP32C3",""
