Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",105.276000,-130.336000,180.000000,top
"C2","10uF","C_0402_1005Metric",101.710000,-110.830000,180.000000,top
"C3","100nF","C_0402_1005Metric",101.700000,-109.510000,180.000000,top
"C4","10uF","C_0402_1005Metric",86.040000,-127.670000,180.000000,top
"C5","1uF","C_0402_1005Metric",100.290000,-119.990000,0.000000,top
"C6","100nF","C_0402_1005Metric",91.160000,-134.830000,180.000000,top
"C7","1uF","C_0402_1005Metric",100.730000,-113.390000,180.000000,top
"CR1","B5819W-TP","SOD3716X135N",101.468500,-129.080500,180.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",80.520000,-132.760000,0.000000,top
"J2","AUX3","470531000",126.208000,-93.766000,-90.000000,top
"J3","AUX1","470531000",108.404000,-93.766000,-90.000000,top
"J4","AUX2","470531000",117.554000,-93.766000,-90.000000,top
"J5","12OUT","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",66.273333,-93.390000,-90.000000,top
"J6","12VOUT","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",66.273333,-102.650000,-90.000000,top
"J7","5V OUT","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",76.834666,-94.410000,180.000000,top
"J8","5V Out 2","TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal",86.298000,-94.410000,180.000000,top
"J12","SERIAL_FU","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",100.028000,-93.766000,90.000000,top
"L1","WS2812B-2020","WS2812B-2020",92.844000,-97.797000,0.000000,top
"R1","10K","R_0603_1608Metric",89.332000,-99.624000,0.000000,top
"R2","100K","R_0603_1608Metric",100.170000,-122.150000,90.000000,top
"R3","100K","R_0603_1608Metric",102.280000,-121.500000,-90.000000,top
"R4","220","R_0402_1005Metric",97.090000,-96.266000,180.000000,top
"SW1","SW_Push","TS-1101S-B-B-B-W-A",92.831000,-90.411000,-90.000000,top
"U1","ESP32-WROOM-32D_16MB_","ESP32-WROOM-32",113.760000,-117.560000,0.000000,top
"U2","CJ2301_S1","SOT-23",101.460000,-125.782000,90.000000,top
"U3","ME6211C33M5G","SOT-23-5",101.200000,-117.270000,90.000000,top
"U4","CH340C","SOIC127P600X180-16N",92.675000,-130.270000,90.000000,top
"U5","UMH3N","UMT6",100.895000,-131.793800,0.000000,top
"U6","D36V50F5-STEPDOWN","D36V50F5-STEPDOWN",86.415000,-113.665000,180.000000,top
"U7","PCA9685","PCA9685",98.330000,-123.150000,0.000000,top
