Designator,Mid X,Mid Y,Rotation,Layer
C1,105.276,-130.336,180.0,top
C2,101.71,-110.83,180.0,top
C3,101.7,-109.51,180.0,top
C4,86.04,-127.67,180.0,top
C5,100.29,-119.99,0.0,top
C6,91.16,-134.83,180.0,top
C7,100.73,-113.39,180.0,top
CR1,101.4685,-129.0805,180.0,top
J1,80.52,-133.445,0.0,top
J10,156.984,-136.084,270.0,top
J11,69.209,-123.229,0.0,top
J12,100.008,-91.226,90.0,top
J13,127.757,-123.025,180.0,top
J14,137.209,-86.717,180.0,top
J15,137.017515,-92.686521,270.0,top
J2,126.453,-89.864,270.0,top
J3,108.649,-89.864,270.0,top
J4,117.799,-89.864,270.0,top
J5,66.173333,-95.14,270.0,top
J6,66.173333,-104.4,270.0,top
J7,75.084666,-94.31,180.0,top
J8,84.548,-94.31,180.0,top
J9,156.984,-77.89,90.0,top
L1,92.844,-97.797,0.0,top
R1,89.332,-99.624,0.0,top
R2,100.17,-122.15,90.0,top
R3,102.28,-121.5,270.0,top
R4,97.09,-96.266,180.0,top
SW1,92.831,-90.411,270.0,top
U1,113.76,-117.56,0.0,top
U2,101.46,-125.782,270.0,top
U3,101.2,-117.27,270.0,top
U4,92.675,-130.27,90.0,top
U5,100.895,-131.7938,0.0,top
U6,86.415,-113.665,180.0,top
